Bild Ref ID;Brot Name;Schritt Nr;Positive Prompt;Negativ Prompt
CHE-00022-G-001-st1.jpg;Baguette;1;Professional food photography, mixer kneading white baguette dough, smooth silky texture, 8k;blurry, text, cartoon, illustration, low quality
CHE-00022-G-001-st2.jpg;Baguette;2;Professional food photography, baker performing stretch and fold on baguette dough, gluten development, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00022-G-001-st3.jpg;Baguette;3;Professional food photography, rolling baguettes on a floured surface, long thin shape, pointed ends, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00022-G-001-st4.jpg;Baguette;4;Professional food photography, scoring baguette with a lame, sharp diagonal cuts, raw dough, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00023-G-001-st1.jpg;Pfilenbrot;1;Professional food photography, mixing dough ingredients in a bowl, milk, flour, butter, 8k;blurry, text, cartoon, illustration, low quality
CHE-00023-G-001-st2.jpg;Pfilenbrot;2;Professional food photography, risen dough in a bowl, smooth surface, volume doubled, 8k;blurry, text, cartoon, illustration, low quality
CHE-00023-G-001-st3.jpg;Pfilenbrot;3;Professional food photography, baker weaving thin dough strands over a larger dough cylinder, intricate pattern, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00023-G-001-st4.jpg;Pfilenbrot;4;Professional food photography, golden brown woven bread coming out of oven, shiny crust, 8k;blurry, text, cartoon, illustration, low quality
CHE-00024-G-001-st1.jpg;Grahambrot;1;Professional food photography, mixing whole wheat graham flour and water, rustic grainy texture, 8k;blurry, text, cartoon, illustration, low quality
CHE-00024-G-001-st2.jpg;Grahambrot;2;Professional food photography, kneading brown graham dough, elastic texture, wooden surface, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00024-G-001-st3.jpg;Grahambrot;3;Professional food photography, placing dough roll into a baking tin, raw dough, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00024-G-001-st4.jpg;Grahambrot;4;Professional food photography, baked loaf in tin, dark crust, healthy look, 8k;blurry, text, cartoon, illustration, low quality
CHE-00029-G-001-st1.jpg;UrDinkel-Zopf;1;Professional food photography, kneading spelt dough carefully, light brown flour, wooden surface, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00029-G-001-st2.jpg;UrDinkel-Zopf;2;Professional food photography, braiding two dough strands into a Zopf loaf, artisan technique, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00029-G-001-st3.jpg;UrDinkel-Zopf;3;Professional food photography, brushing braided loaf with egg wash, raw dough, shine, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00035-G-001-st1.jpg;Vollkornbrot;1;Professional food photography, whole wheat dough rising in a bowl, rough grain texture, 8k;blurry, text, cartoon, illustration, low quality
CHE-00035-G-001-st2.jpg;Vollkornbrot;2;Professional food photography, dough in loaf tin rising, whole grain texture, seeds on top, 8k;blurry, text, cartoon, illustration, low quality
CHE-00035-G-001-st3.jpg;Vollkornbrot;3;Professional food photography, baked whole wheat bread in tin, dark crust, cooling, 8k;blurry, text, cartoon, illustration, low quality
CHE-00036-G-001-st1.jpg;Safranbrot;1;Professional food photography, yellow saffron dough kneading, vibrant yellow color, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00036-G-001-st2.jpg;Safranbrot;2;Professional food photography, scoring yellow dough loaf with many small cuts, pattern creation, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00036-G-001-st3.jpg;Safranbrot;3;Professional food photography, saffron bread in oven, golden yellow crust forming, 8k;blurry, text, cartoon, illustration, low quality
CHE-00037-G-001-st1.jpg;Rustico-Schlumbi;1;Professional food photography, mixing spiced dough with caraway seeds visible, texture shot, 8k;blurry, text, cartoon, illustration, low quality
CHE-00037-G-001-st2.jpg;Rustico-Schlumbi;2;Professional food photography, twisting heavy dough loaf, oiled surface, rustic shaping, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00037-G-001-st3.jpg;Rustico-Schlumbi;3;Professional food photography, rustic dark bread baking, thick crust formation, 8k;blurry, text, cartoon, illustration, low quality
CHE-00038-G-001-st1.jpg;August-Wegge;1;Professional food photography, smooth enriched dough ball rising, bright environment, 8k;blurry, text, cartoon, illustration, low quality
CHE-00038-G-001-st2.jpg;August-Wegge;2;Professional food photography, cutting a cross into the top of a dough bun with scissors, raw dough, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00038-G-001-st3.jpg;August-Wegge;3;Professional food photography, golden brown buns in oven, baking process, 8k;blurry, text, cartoon, illustration, low quality
CHE-00039-G-001-st1.jpg;Kartoffelbrot (Saftig);1;Professional food photography, mixing grated cooked potatoes into flour dough, texture shot, 8k;blurry, text, cartoon, illustration, low quality
CHE-00039-G-001-st2.jpg;Kartoffelbrot (Saftig);2;Professional food photography, scoring potato bread dough diagonally, flour dusted surface, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00039-G-001-st3.jpg;Kartoffelbrot (Saftig);3;Professional food photography, potato bread baking in oven, crust browning, heat, 8k;blurry, text, cartoon, illustration, low quality
CHE-00040-G-001-st1.jpg;Müeslibrot;1;Professional food photography, dough with nuts and dried fruits and oats visible, rich texture, macro, 8k;blurry, text, cartoon, illustration, low quality
CHE-00040-G-001-st2.jpg;Müeslibrot;2;Professional food photography, rolling dough loaf in oat flakes, coating the surface, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00040-G-001-st3.jpg;Müeslibrot;3;Professional food photography, muesli bread in oven, golden oats on top, baking, 8k;blurry, text, cartoon, illustration, low quality
CHE-00041-G-001-st1.jpg;Nussbrot;1;Professional food photography, dough with whole hazelnuts and almonds, rustic bowl, 8k;blurry, text, cartoon, illustration, low quality
CHE-00041-G-001-st2.jpg;Nussbrot;2;Professional food photography, dipping dough rolls into chopped nuts, coating process, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00041-G-001-st3.jpg;Nussbrot;3;Professional food photography, nut bread baking, roasted nuts on crust, golden color, 8k;blurry, text, cartoon, illustration, low quality
CHE-00042-G-001-st1.jpg;Kürbisbrot;1;Professional food photography, dough with grated pumpkin and seeds, orange tint, texture, 8k;blurry, text, cartoon, illustration, low quality
CHE-00042-G-001-st2.jpg;Kürbisbrot;2;Professional food photography, shaping pumpkin bread, inserting a dough stem, scoring sides to look like pumpkin, 8k;blurry, text, cartoon, illustration, low quality, deformed hands
CHE-00042-G-001-st3.jpg;Kürbisbrot;3;Professional food photography, pumpkin bread in oven, crust hardening, steam, 8k;blurry, text, cartoon, illustration, low quality
