Dateiname;Thema;Prompt
*brot_origin.jpg;Urzeit Fladenbrot;Prehistoric flatbread baking on a hot stone in the sun, primitive setting, grain stalks in background
*egypt_bread.jpg (brot_geschichte_header.jpg?);Ägypten Bäckerei;Ancient Egyptian bakery scene, wall painting style brought to life
*brot_modern_artisan.jpg;Modern Artisan Bread;Close up of a rustic sourdough bread loaf, dark caramelized crust with flour dusting
*hefe_sauerteig.jpg;Header: Hefe und Sauerteig;Split composition showing fresh yeast cube crumbling on left and bubbly sourdough starter in a jar
*hefe_frisch.jpg;Frische Hefe;Cube of fresh bakers yeast (42g), beige color, crumbling slightly, macro shot
*hefe_trocken.jpg;Trockenhefe;Pile of dry yeast granules (instant yeast), small beige spheres, macro shot
*sauerteig_roggen.jpg;Roggen Sauerteig;Active rye sourdough starter in a Weck glass jar, huge bubbles visible on the side
*lievito_madre.jpg;Lievito Madre;Solid italian sourdough (Lievito Madre), cross cut showing the internal spiderweb structure of gluten
*backpulver.jpg;Backpulver;White baking powder on a silver spoon, chemical purity look
*natron.jpg;Natron;Baking Soda powder, very fine white powder, next to a lemon wedge
hirschhornsalz.jpg;Hirschhornsalz;Hirschhornsalz crystals (Ammonium carbonate), slightly coarser than baking powder
pottasche.jpg;Pottasche;Potash (Potassium carbonate) white powder, in a small glass dish
fermentation_bubbles.jpg;Gärung Makro;Extreme macro shot of dough surface showing gas bubbles trapped under the gluten skin
chemie_reaction.jpg;Chemische Reaktion;Baking soda reacting with vinegar in a glass, fizzy eruption
*layout_intro_header.jpg;Header: Mehl;Sacks of flour in a historic mill, dust motes dancing in light beams (Ist-Name)
urkorn_header.jpg;Header: Urkorn;A moody shot of ancient grain ears (Emmer, Einkorn) in a field, golden hour light
urkorn_einkorn.jpg;Einkorn Mehl;A bowl of yellow Einkorn flour next to grains, warm yellow tint
urkorn_emmer.jpg;Emmer Korn;Close up of Emmer grains, darker and harder look, in a linen sack
urkorn_kamut.jpg;Kamut Brot;Slices of Kamut bread, large pores, yellowish crumb, very appetizing
urkorn_dinkel.jpg;Dinkel Ähre;Spelt wheat ears (Dinkel) close up, long and elegant shape
urkorn_rotkorn.jpg;Rotkornweizen;Purple wheat bread (Rotkornweizen), sliced showing purple streaks in the crumb
